Gene.ID	Gene.symbol	adj.P.Val	logFC
8777	MPDZ	2.56592417544155e-36	-3.67006387844445
5593	PRKG2	5.88723429077942e-30	-5.87476460055556
1131	CHRM3	3.20042911460231e-28	-4.37856988838889
158326	FREM1	1.11956657176527e-23	-3.4098246065
154215	NKAIN2	5.16667547806502e-23	-4.67348965777778
3131	HLF	2.78680651570543e-20	-4.14036367338889
4675	NAP1L3	6.56363353751396e-20	-4.12074150494445
5087	PBX1	1.92818501064263e-18	-4.19551911222222
		1.96688489322425e-18	-2.67626104872222
84251	SGIP1	1.9727728058926e-18	-2.26668834611111
5332	PLCB4	8.12978474975197e-18	-3.436481563
1393	CRHBP	1.68651696520351e-17	-4.41211256005555
137868	SGCZ	1.48108174001192e-16	-1.87749534672222
79633	FAT4	3.46389806976716e-16	-1.72822099711111
84620	ST6GAL2	1.23803671338411e-15	-2.07099867272222
51705	EMCN	2.12337298832066e-15	-2.34925887205555
27330	RPS6KA6	2.76502588420459e-14	-2.28648589972222
164045	HFM1	4.98842194430994e-14	-1.74752571233333
5592	PRKG1	4.98842194430994e-14	-1.97547089594444
196403	DTX3	3.65617833642273e-13	-1.8900337425
2006	ELN	3.65617833642273e-13	-1.94814958
22998	LIMCH1	3.94098287577559e-13	-2.21014730072222
2533	FYB	7.3814061548141e-13	4.38238276816667
84707	BEX2	9.98627468414608e-13	-2.70245587916667
5352	PLOD2	1.29222685481123e-12	-4.35933577477778
5580	PRKCD	1.41104989751533e-12	2.97252833266667
57562	CEP126	1.67880196137767e-12	-2.77985165477778
57484	RNF150	1.87413301150335e-12	-2.08046266911111
57211	ADGRG6	2.18025875040794e-12	-4.53988456877778
50859	SPOCK3	2.66824082691106e-12	-2.01924801716667
55190	NUDT11	4.86429713831303e-12	-3.17347958394445
		5.17766285742266e-12	-2.97287592405556
1005	CDH7	5.53404784500778e-12	-1.71811622361111
57631	LRCH2	1.63069756313587e-11	-2.05384542405556
1266	CNN3	1.9750249109582e-11	-3.2901396115
23037	PDZD2	3.69757473249611e-11	-2.441912577
221806	VWDE	4.71763214621016e-11	-3.76142551894444
		5.18492206012982e-11	-3.27643130972222
		3.26887934884873e-10	-2.49897428161111
60528///8091///8091	ELAC2///HMGA2///HMGA2	3.49900754532938e-10	-2.19927881311111
8722	CTSF	4.1354713423695e-10	-2.12292367677778
338811	FAM19A2	5.00745237922942e-10	-3.51643468888889
51310	SLC22A17	5.7352298992686e-10	-1.85750208744444
93517	SDR42E1	9.31544310530518e-10	-2.41420726588889
55478	PRO2012	1.33784978286129e-09	-3.50055684355555
80177	MYCT1	1.64867907398873e-09	-5.55381216261111
25890	ABI3BP	1.65107659663097e-09	-1.66470489877778
4674	NAP1L2	1.77608601322418e-09	-2.634756757
4125	MAN2B1	2.60849061768363e-09	1.93205222955556
6769	STAC	3.03247005290813e-09	-1.47899983538889
94121	SYTL4	3.12592534232564e-09	-3.10377885216667
		3.56648626981114e-09	-1.27524154411111
200132	TCTEX1D1	3.56648626981114e-09	-3.67109859838889
3595	IL12RB2	5.8457950009078e-09	-4.03474281483333
79667	KLF3-AS1	6.10372070881764e-09	-3.03993466994445
