Gene.ID	Gene.symbol	adj.P.Val	logFC
79689	STEAP4	2.30766240638094e-25	-5.21382040227778
93978	CLEC6A	1.32965973863437e-23	-3.90374352805556
3815	KIT	1.32965973863437e-23	5.93137807372222
3925	STMN1	5.53935775351983e-22	4.33719421677778
79971	WLS	2.40612187028474e-21	-3.82429199305556
22901	ARSG	6.90410562775226e-21	-2.55947079794444
55022	PID1	6.90410562775226e-21	-4.51042408366667
7298	TYMS	1.13164691027599e-19	4.65079884055556
9768	KIAA0101	1.29389180676277e-19	5.71632108444445
57864	SLC46A2	1.99366786358147e-19	-2.81230648716667
7941	PLA2G7	2.02859596592764e-19	-5.04615385011111
56265	CPXM1	2.02859596592764e-19	4.02244866777778
81539	SLC38A1	4.91147419705125e-19	4.50307048872222
64798	DEPTOR	1.06694568293927e-18	3.67998719716667
4602///4602	MYB///MYB	5.65682120102711e-18	3.73213162511111
7465	WEE1	8.97292894138952e-18	3.57760845272223
123041	SLC24A4	9.0602746569114e-18	-3.04069401355556
4171	MCM2	1.15116481709016e-17	2.74258148027778
1593	CYP27A1	3.31597292729581e-17	-4.05556339544445
54733	SLC35F2	4.86874547256946e-17	3.51390348666667
2078	ERG	4.96546314719972e-17	3.84659961155556
84658	ADGRE3	5.79906684986504e-17	-3.87293025888889
2322	FLT3	1.59455050779239e-16	3.47029807655556
3009	HIST1H1B	2.42190339272131e-16	5.38391744005556
5832	ALDH18A1	3.37124552548618e-16	3.96767261722222
8358	HIST1H3B	4.51651465794022e-16	5.40613475133333
23243	ANKRD28	5.1834250604008e-16	3.87291860205556
51514	DTL	7.1049697627662e-16	4.69172871083333
253827	MSRB3	7.6723578596294e-16	3.76966463527778
26253	CLEC4E	1.07511155942023e-15	-4.97631002577778
3176	HNMT	1.07511155942023e-15	-3.28372489738889
6604	SMARCD3	1.18694467894195e-15	-2.28127717672222
4117	MAK	2.01181289560993e-15	-1.7446778435
55536	CDCA7L	2.01704886846843e-15	4.11945463738889
		2.56832092817381e-15	-3.23768843527778
978	CDA	2.56832092817381e-15	-3.71651624355556
4175	MCM6	2.81503365465413e-15	3.49253291144445
2982	GUCY1A3	3.09185213298755e-15	4.24003670511111
		5.16582384490567e-15	2.28520124272222
3070	HELLS	5.16582384490567e-15	3.28466200383334
283383	ADGRD1	5.40733909065078e-15	-2.01865393044444
144423	GLT1D1	5.9052264952168e-15	-4.40779002066667
894	CCND2	5.9052264952168e-15	3.20945863211111
407977///8742///8741	TNFSF12-TNFSF13///TNFSF12///TNFSF13	6.24699861240999e-15	-1.92683946611111
10439	OLFM1	8.1913452099595e-15	-2.28919869705555
81691	LOC81691	8.29265804774274e-15	2.43752076077778
10512	SEMA3C	1.00290941286976e-14	-2.95730432211111
8318	CDC45	1.20855700702077e-14	2.76400386211111
100532746///80864///9374	PPT2-EGFL8///EGFL8///PPT2	1.6408715237524e-14	2.03449258177778
55350	VNN3	1.73617056025926e-14	-3.16004723333334
5125	PCSK5	1.96885677010131e-14	-2.85087787422222
338339	CLEC4D	2.29544344083097e-14	-4.07871456777778
1021	CDK6	2.29544344083097e-14	3.86836619688889
25902	MTHFD1L	2.34978970176895e-14	1.69419446144445
8969	HIST1H2AG	2.40450095111108e-14	2.86405523844444
116362	RBP7	2.8946911456744e-14	-3.53573504827778
9200	HACD1	4.54437062228454e-14	2.83452792433333
701	BUB1B	4.73528574280069e-14	3.15592939161111
283349	RASSF3	4.8336731269457e-14	-2.54219160816667
10855	HPSE	4.91786120106447e-14	-3.22122181916667
27202	C5AR2	5.64012576312848e-14	-2.78286210105555
9586	CREB5	5.68786786815085e-14	-3.62810058883334
51267	CLEC1A	6.06520109890881e-14	-2.40614118794444
653604///333932///126961	HIST2H3D///HIST2H3A///HIST2H3C	6.06520109890881e-14	3.4125293055
6398	SECTM1	7.00761939558323e-14	-3.59728275555556
22974	TPX2	7.34131068681562e-14	3.73660732111111
6252	RTN1	7.6712568351491e-14	-3.19383642805556
9735	KNTC1	9.1267066109994e-14	2.45040504022222
83716	CRISPLD2	1.02314787769413e-13	-3.39407965133334
7813	EVI5	1.43132910213305e-13	-2.4244792375
81788	NUAK2	1.43467869244269e-13	-2.49776437311111
		1.51133192551187e-13	1.47564868555556
10389	SCML2	1.60618736458701e-13	3.19492467666667
284029	LINC00324	1.98317274852018e-13	-1.97179690738889
11169	WDHD1	1.99452734783544e-13	3.08012011938889
7516	XRCC2	2.10994764963394e-13	3.05745873338889
1111	CHEK1	2.28871520174234e-13	3.41510097811111
4883	NPR3	2.28871520174234e-13	4.44652740705556
23328	SASH1	2.36151109093143e-13	-2.62514910627778
151556	GPR155	2.38515109272508e-13	-2.92935460177778
57730	ANKRD36B	2.81428349969068e-13	2.47354781538889
1545	CYP1B1	2.81428349969068e-13	-4.96931965811111
11113	CIT	2.90633369269074e-13	2.86049170816666
11001	SLC27A2	3.66894579465652e-13	3.85462934044444
246330	PELI3	4.26838328321229e-13	-1.38459479572222
256435	ST6GALNAC3	4.35908653190605e-13	-2.65768887233334
8351///3013	HIST1H3D///HIST1H2AD	5.08061730451135e-13	2.60310472766667
4883	NPR3	5.36115808501265e-13	4.26849268044444
969	CD69	5.38176740127083e-13	4.50643229633334
3945	LDHB	6.05713735539183e-13	2.40881868583333
92092	ZC3HAV1L	6.06510352995968e-13	3.02598226244445
26234	FBXL5	6.06510352995968e-13	-1.63723848122222
4353	MPO	6.40447657066867e-13	4.76807339166667
57415	C3orf14	6.40447657066867e-13	-1.76535015694445
643418	LIPN	7.70672777578343e-13	-3.61306986438889
3615	IMPDH2	7.94803401037165e-13	1.86226555094444
54734	RAB39A	8.29880134810114e-13	-2.59696452888889
7035	TFPI	8.31196001537497e-13	4.09467084983333
56479	KCNQ5	8.418432570973e-13	3.36405796322222
150372	NFAM1	8.76941902282212e-13	-2.50554541122222
4085	MAD2L1	9.57166065272432e-13	3.18526215483333
		1.11232912345719e-12	2.36517544583333
10924	SMPDL3A	1.16918492839513e-12	-3.35107487722222
3655	ITGA6	1.19821607576955e-12	4.047332478
29992	PILRA	1.2824389584635e-12	-3.35345641283333
353514	LILRA5	1.33352400620554e-12	-4.26813110355556
64151	NCAPG	1.3339260384501e-12	3.82096161161111
10288	LILRB2	1.41502218972167e-12	-3.58188852905556
9055	PRC1	1.5295221093015e-12	3.08456874272222
10051	SMC4	1.54031811716585e-12	2.29676294977778
128646	SIRPD	1.56518267338831e-12	-2.70907114666667
55215	FANCI	1.64172589461771e-12	2.92098366988889
11240	PADI2	1.67940410901885e-12	-2.6461235545
6038///283	RNASE4///ANG	1.88502746028574e-12	-2.54737313427778
84440	RAB11FIP4	1.89354534737998e-12	-1.79255372233333
11026	LILRA3	1.96220907616421e-12	-4.34274282038889
8357///8329	HIST1H3H///HIST1H2AI	2.06227898185606e-12	3.35676472144444
11027	LILRA2	2.19057578121073e-12	-3.39960146694445
55835	CENPJ	2.23563197745183e-12	2.12521386
7074	TIAM1	2.33017964703209e-12	-3.44824431761111
645784///375248///57730	ANKRD36BP2///ANKRD36///ANKRD36B	2.57806942834216e-12	2.545638725
6283	S100A12	2.69050079768329e-12	-5.51690073361111
912	CD1D	2.99768377442726e-12	-3.07435987461111
100128888///730029///653162///388524///220885///204010///3921	RPSAP36///RPSAP19///RPSAP9///RPSAP58///RPSAP15///RPSAP52///RPSA	4.01735908469574e-12	1.3725596255
81030	ZBP1	4.05487943334679e-12	-1.35669214833333
54855	FAM46C	4.44672666875725e-12	3.43424889411111
2204	FCAR	4.44672666875725e-12	-3.70062255511111
340527	NHSL2	4.46821271109092e-12	-2.52300885533334
7374	UNG	4.63814314112177e-12	1.96285554522222
7153	TOP2A	5.05647202296139e-12	3.97247918261111
